file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last
JD176075,JD,Library,IMPLICIT_COLUMNS,0,2005-11-28 12:35:15,2018-07-02 16:09:49,1,1
JD176073,JD,Library,IMPLICIT_COLUMNS,1,2005-11-28 12:35:15,2018-07-02 16:09:49,1,0
JD73169,JD,Utility,IMPLICIT_COLUMNS,1,2008-09-02 21:20:24,2016-04-25 19:30:26,1,0
JD180876,JD,Business,IMPLICIT_COLUMNS,1,2011-01-20 15:34:31,2014-03-10 18:32:26,0,0
JD91561,JD,Library,IMPLICIT_COLUMNS,0,2010-12-03 09:19:54,2011-01-12 15:53:39,1,1
JD1145,JD,Library,IMPLICIT_COLUMNS,0,2016-04-11 13:29:10,2019-10-10 12:09:04,0,1
JD103025,JD,Library,IMPLICIT_COLUMNS,0,2011-11-02 13:05:45,2014-07-10 09:49:20,0,1
JD91739,JD,Utility,IMPLICIT_COLUMNS,0,2016-08-12 10:07:06,2016-12-12 20:36:21,1,1
JD127091,JD,Library,IMPLICIT_COLUMNS,0,2011-01-03 14:31:36,2013-09-09 10:12:56,0,1
JD131858,JD,Library,IMPLICIT_COLUMNS,0,2011-08-20 13:41:54,2013-09-09 10:12:56,1,1
JD168043,JD,Library,IMPLICIT_COLUMNS,0,2014-03-29 10:52:39,2015-06-20 05:51:07,1,1
JD167624,JD,Utility,IMPLICIT_COLUMNS,0,2007-11-19 17:38:08,2019-08-26 13:40:10,0,1
JD23288,JD,Library,IMPLICIT_COLUMNS,0,2013-09-11 20:12:17,2014-10-01 20:48:56,1,1
JP70911,JP,Business,IMPLICIT_COLUMNS,0,2017-06-07 21:21:47,2019-09-14 08:04:14,1,1
JP71110,JP,Business,IMPLICIT_COLUMNS,0,2018-09-10 15:33:59,2019-09-14 08:04:14,1,1
JP70226,JP,Business,IMPLICIT_COLUMNS,0,2017-06-07 21:21:47,2019-09-14 08:04:14,1,1
JP70109,JP,Business,IMPLICIT_COLUMNS,0,2017-06-07 21:21:47,2019-09-14 08:04:14,1,1
JP67992,JP,Business,IMPLICIT_COLUMNS,0,2014-09-08 14:17:39,2015-02-16 22:43:52,1,1
JP68739,JP,Business,IMPLICIT_COLUMNS,0,2015-08-17 13:41:26,2016-07-25 21:28:33,1,1
JP32657,JP,Business,IMPLICIT_COLUMNS,0,2011-11-07 21:22:10,2019-10-08 04:58:18,1,1
JP10665,JP,Business,IMPLICIT_COLUMNS,0,2017-10-13 14:23:52,2019-09-16 10:12:39,1,1
JP10667,JP,Business,IMPLICIT_COLUMNS,0,2017-10-13 14:23:52,2019-09-16 10:12:39,1,1
JP5748,JP,Library,IMPLICIT_COLUMNS,0,2015-04-25 15:58:59,2019-09-27 15:52:13,1,1
JP5582,JP,Library,IMPLICIT_COLUMNS,0,2015-04-25 15:58:59,2019-09-27 15:52:13,1,1
JP56765,JP,Library,IMPLICIT_COLUMNS,0,2011-08-18 21:38:17,2019-10-10 13:41:22,1,1
JP791,JP,Library,IMPLICIT_COLUMNS,0,2010-05-31 03:34:34,2013-04-01 08:03:26,1,1
JP8269,JP,Library,IMPLICIT_COLUMNS,1,2013-06-12 09:13:01,2015-06-11 13:09:35,1,0
JP8504,JP,Library,IMPLICIT_COLUMNS,1,2014-04-07 10:07:36,2015-06-11 13:09:35,1,0
JP48996,JP,Library,IMPLICIT_COLUMNS,0,2012-04-30 12:10:46,2012-11-27 05:53:48,1,1
JP43176,JP,Library,IMPLICIT_COLUMNS,0,2010-05-27 07:32:59,2012-04-30 12:10:46,1,1
JP12849,JP,Library,IMPLICIT_COLUMNS,0,2014-04-07 14:56:54,2019-10-07 15:03:55,1,1
JP12855,JP,Library,IMPLICIT_COLUMNS,0,2014-04-07 14:56:54,2019-10-07 15:03:55,1,1
JP22397,JP,Library,IMPLICIT_COLUMNS,1,2017-05-19 11:00:10,2018-03-06 13:24:21,1,0
JP62603,JP,Library,IMPLICIT_COLUMNS,0,2012-03-16 09:15:27,2019-07-03 12:31:16,1,1
JP60783,JP,Library,IMPLICIT_COLUMNS,0,2011-09-24 00:59:51,2019-07-03 12:31:16,1,1
JP40105,JP,Library,IMPLICIT_COLUMNS,0,2018-05-29 14:21:24,2019-10-07 20:10:51,1,1
JP32047,JP,Library,IMPLICIT_COLUMNS,0,2019-02-12 09:49:15,2019-03-07 13:57:39,1,1
JP26450,JP,Library,IMPLICIT_COLUMNS,0,2018-02-23 08:41:35,2019-06-14 07:47:46,1,1
JP26435,JP,Library,IMPLICIT_COLUMNS,0,2018-02-23 08:41:35,2019-03-07 13:57:39,1,1
JP26426,JP,Library,IMPLICIT_COLUMNS,0,2018-02-23 08:41:35,2019-03-07 13:57:39,1,1
