file_id,projectGroup,category,smellType,status,tInit,tFinal,first,last,T,days,DBsmell
JD105477,JD,Utility,IMPLICIT_COLUMNS,0,2017-03-19 23:31:17,2019-10-09 19:17:00,1,1,933 days 19:45:43.000000000,933,True
JD172961,JD,Library,IMPLICIT_COLUMNS,0,2001-03-15 19:00:22,2019-10-06 12:36:41,1,1,6778 days 17:36:19.000000000,6778,True
JD172705,JD,Library,IMPLICIT_COLUMNS,0,1999-06-02 03:01:40,2014-03-09 02:50:37,1,1,5393 days 23:48:57.000000000,5393,True
JD173482,JD,Library,IMPLICIT_COLUMNS,0,2004-01-25 19:44:20,2014-03-09 02:50:37,1,1,3695 days 07:06:17.000000000,3695,True
JD173483,JD,Library,IMPLICIT_COLUMNS,0,2004-01-25 19:44:20,2014-03-09 02:50:37,1,1,3695 days 07:06:17.000000000,3695,True
JD173485,JD,Library,IMPLICIT_COLUMNS,0,2004-01-25 19:44:20,2014-03-09 02:50:37,1,1,3695 days 07:06:17.000000000,3695,True
JD173879,JD,Library,IMPLICIT_COLUMNS,0,2005-04-13 19:27:17,2019-10-06 12:36:41,1,1,5288 days 17:09:24.000000000,5288,True
JD173878,JD,Library,IMPLICIT_COLUMNS,0,2005-04-13 19:27:17,2019-10-06 12:36:41,1,1,5288 days 17:09:24.000000000,5288,True
JD4560,JD,Library,IMPLICIT_COLUMNS,0,2013-06-11 10:24:14,2016-08-20 03:45:51,1,1,1165 days 17:21:37.000000000,1165,True
JD174016,JD,Library,IMPLICIT_COLUMNS,0,2008-02-08 17:46:19,2014-03-09 02:50:37,1,1,2220 days 09:04:18.000000000,2220,True
JD32916,JD,Library,IMPLICIT_COLUMNS,0,2014-05-13 22:03:38,2015-03-01 20:09:24,1,1,291 days 22:05:46.000000000,291,True
JD33126,JD,Library,IMPLICIT_COLUMNS,0,2014-10-01 20:48:56,2015-03-01 20:09:24,1,1,150 days 23:20:28.000000000,150,True
JD39936,JD,Library,IMPLICIT_COLUMNS,0,2014-12-22 19:37:03,2015-03-01 20:09:24,1,1,69 days 00:32:21.000000000,69,True
JD39937,JD,Library,IMPLICIT_COLUMNS,0,2014-12-22 19:37:03,2015-03-01 20:09:24,1,1,69 days 00:32:21.000000000,69,True
JD106256,JD,Library,IMPLICIT_COLUMNS,1,2016-06-28 23:41:56,2016-08-29 18:27:14,0,0,61 days 18:45:18.000000000,61,True
JD106129,JD,Library,IMPLICIT_COLUMNS,1,2016-06-28 23:41:56,2016-08-29 18:27:14,0,0,61 days 18:45:18.000000000,61,True
JD101633,JD,Library,IMPLICIT_COLUMNS,0,2013-04-20 01:04:17,2016-12-27 21:20:24,1,1,1347 days 20:16:07.000000000,1347,True
JD27014,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1,29 days 08:51:21.000000000,29,True
JD27011,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1,29 days 08:51:21.000000000,29,True
JD27009,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1,29 days 08:51:21.000000000,29,True
JD27006,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1,29 days 08:51:21.000000000,29,True
JD27004,JD,Multimedia,IMPLICIT_COLUMNS,0,2018-10-07 12:04:49,2018-11-05 20:56:10,1,1,29 days 08:51:21.000000000,29,True
JD55,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,0,1,135 days 13:21:08.000000000,135,True
JD154,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1,135 days 13:21:08.000000000,135,True
JD151,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1,135 days 13:21:08.000000000,135,True
JD147,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1,135 days 13:21:08.000000000,135,True
JD143,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1,135 days 13:21:08.000000000,135,True
JD139,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1,135 days 13:21:08.000000000,135,True
JD127,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1,135 days 13:21:08.000000000,135,True
JD118,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1,135 days 13:21:08.000000000,135,True
JD116,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1,135 days 13:21:08.000000000,135,True
JD110,JD,Business,IMPLICIT_COLUMNS,0,2017-08-17 01:24:31,2017-12-30 14:45:39,1,1,135 days 13:21:08.000000000,135,True
JD213,JD,Business,IMPLICIT_COLUMNS,0,2017-10-16 11:24:55,2017-12-30 14:45:39,0,1,75 days 03:20:44.000000000,75,True
JD127785,JD,Library,IMPLICIT_COLUMNS,0,2011-01-03 14:31:36,2019-09-27 08:15:12,1,1,3188 days 17:43:36.000000000,3188,True
